OBJECTID *,Shape *,Administrative Unit Code,Administrative Unit Name,BLM Organization Type,Approval Date,Effective Date,State Office URL,Parent Admin Code,Parent Name,Administrative State Code,Shape_Length,Shape_Area
22,Polygon,NW OREGON CASCADES FIELD OFFICE,NW OREGON CASCADES FIELD OFFICE,Administrative Field Office,2/11/2016,10/2/2016,https://www.blm.gov/oregon-washington,NW OREGON DISTRICT OFFICE,NW OREGON DISTRICT OFFICE,Oregon,891872.4651,25775945618
23,Polygon,PINEDALE FIELD OFFICE,Pinedale Field Office,Administrative Field Office,9/9/9999,7/16/1946,https://www.blm.gov/wyoming/,WYOMING HIGH DESERT DISTRICT OFFICE,High Desert District,Wyoming,1378486.679,36855358990
24,Polygon,GLENNALLEN FIELD OFFICE,GLENNALLEN FIELD OFFICE,Administrative Field Office,1/9/2015,1/9/2015,https://www.blm.gov/office/glennallen-field-office,ANCHORAGE DISTRICT OFFICE,ANCHORAGE DISTRICT OFFICE,Alaska,72575994.1,1.07235E+12
25,Polygon,ST GEORGE FIELD OFFICE,St. George,Administrative Field Office,1/1/1946,1/1/1946,https://www.blm.gov/utah,COLOR COUNTRY DISTRICT OFFICE,Color Country,Utah,457332.5484,10075934136
26,Polygon,BISHOP FIELD OFFICE,Bishop Field Office,Administrative Field Office,9/9/9999,9/9/9999,'https://www.blm.gov/california,CENTRAL CALIFORNIA DISTRICT,Central California District,California,1109486.375,21325579154
27,Polygon,MONTICELLO FIELD OFFICE,Monticello,Administrative Field Office,1/1/1946,1/1/1946,https://www.blm.gov/utah,CANYON COUNTRY DISTRICT OFFICE,Canyon Country,Utah,1292973.959,29571737885
28,Polygon,PAHRUMP FIELD OFFICE,Pahrump Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/nv/st/en.html,SOUTHERN NEVADA DISTRICT OFFICE,Southern Nevada District,Nevada,1121676.035,31133910448
29,Polygon,UPPER SNAKE FIELD OFFICE,Upper Snake Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/id/st/en.html,IDAHO FALLS DISTRICT OFFICE,Idaho Falls District Office,Idaho,1505551.136,55382437870
30,Polygon,UKIAH FIELD OFFICE,Ukiah Field Office,Administrative Field Office,9/9/9999,9/9/9999,'https://www.blm.gov/california,CENTRAL CALIFORNIA DISTRICT,Central California District,California,1406084.779,44145256032
31,Polygon,BILLINGS FIELD OFFICE,BILLINGS FIELD OFFICE,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/mt/st/en.html,EASTERN MONTANA/DAKS DISTRICT OFFICE,EASTERN MONTANA/DAKS DISTRICT OFFICE,Montana,1351318.889,90031223027
32,Polygon,COEUR D'ALENE FIELD OFFICE,Coeur d'Alene Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/id/st/en.html,COEUR D'ALENE DISTRICT OFFICE,Coeur d'Alene District Office,Idaho,1160993.152,45615676323
33,Polygon,KEMMERER FIELD OFFICE,Kemmerer Field Office,Administrative Field Office,9/9/9999,7/16/1946,https://www.blm.gov/wyoming/,WYOMING HIGH DESERT DISTRICT OFFICE,High Desert District,Wyoming,1118433.73,28729483543
34,Polygon,JARBIDGE FIELD OFFICE,Jarbidge Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/id/st/en.html,TWIN FALLS DISTRICT OFFICE,Twin Falls District Office,Idaho,672894.3872,13473248178
35,Polygon,LITTLE SNAKE FIELD OFFICE,LITTLE SNAKE FIELD OFFICE,Administrative Field Office,7/7/2011,7/7/2011,https://www.blm.gov/office/little-snake-field-office,NORTHWEST DISTRICT OFFICE,NORTHWEST DISTRICT OFFICE,Colorado,1050804.866,29625765943
36,Polygon,COOS BAY MYRTLEWOOD FIELD OFFICE,COOS BAY MYRTLEWOOD FIELD OFFICE,Administrative Field Office,9/9/9999,9/9/9999,https://www.blm.gov/oregon-washington,COOS BAY DISTRICT OFFICE,COOS BAY DISTRICT OFFICE,Oregon,720921.7258,12310290894
37,Polygon,SALMON FIELD OFFICE,Salmon Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/id/st/en.html,IDAHO FALLS DISTRICT OFFICE,Idaho Falls District Office,Idaho,1061390.112,19844601975
38,Polygon,MOAB FIELD OFFICE,Moab,Administrative Field Office,1/1/1946,1/1/1946,https://www.blm.gov/utah,CANYON COUNTRY DISTRICT OFFICE,Canyon Country,Utah,972522.8235,19103142325
39,Polygon,SALT LAKE FIELD OFFICE,Salt Lake,Administrative Field Office,1/1/1946,1/1/1946,https://www.blm.gov/utah,WEST DESERT DISTRICT OFFICE,West Desert,Utah,1658753.881,1.10003E+11
40,Polygon,KANAB FIELD OFFICE,Kanab,Administrative Field Office,11/24/2019,11/24/2019,https://www.blm.gov/utah,PARIA RIVER DISTRICT,Paria River,Utah,2376242.389,24428547952
41,Polygon,NEEDLES FIELD OFFICE,Needles Field Office,Administrative Field Office,9/9/9999,9/9/9999,'https://www.blm.gov/california,CALIFORNIA DESERT DISTRICT,California Desert District,California,857721.6488,31725175003
42,Polygon,HASSAYAMPA FIELD OFFICE,HASSAYAMPA FIELD OFFICE,Administrative Field Office,4/22/2010,4/22/2010,https://www.blm.gov/arizona,PHOENIX DISTRICT OFFICE,PHOENIX DISTRICT OFFICE,Arizona,2699660.197,1.48628E+11
43,Polygon,TRES RIOS FIELD OFFICE,TRES RIOS FIELD OFFICE,Administrative Field Office,5/20/2016,10/3/2016,https://www.blm.gov/office/tres-rios-field-office,SOUTHWEST DISTRICT OFFICE,SOUTHWEST DISTRICT OFFICE,Colorado,1122959.647,31364888717
44,Polygon,KINGMAN FIELD OFFICE,KINGMAN FIELD OFFICE,Administrative Field Office,12/19/2017,12/19/2017,https://www.blm.gov/arizona,COLORADO RIVER DISTRICT OFFICE,COLORADO RIVER DISTRICT OFFICE,Arizona,1063241.928,34696446887
45,Polygon,CHALLIS FIELD OFFICE,Challis Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/id/st/en.html,IDAHO FALLS DISTRICT OFFICE,Idaho Falls District Office,Idaho,1107358.481,27704063618
46,Polygon,ROSWELL FIELD OFFICE,ROSWELL FIELD OFFICE,Administrative Field Office,9/1/2004,9/18/2008,http://www.blm.gov/nm/st/en.html,PECOS DISTRICT OFFICE,PECOS DISTRICT OFFICE,New Mexico,1506773.802,82811579644
47,Polygon,LAKEVIEW KLAMATH FALLS FIELD OFFICE,LAKEVIEW KLAMATH FALLS FIELD OFFICE,Administrative Field Office,9/9/9999,9/9/9999,https://www.blm.gov/oregon-washington,LAKEVIEW DISTRICT OFFICE,LAKEVIEW DISTRICT OFFICE,Oregon,682556.4625,23317241089
48,Polygon,ROCK SPRINGS FIELD OFFICE,Rock Springs Field Office,Administrative Field Office,9/9/9999,7/16/1946,https://www.blm.gov/wyoming/,WYOMING HIGH DESERT DISTRICT OFFICE,High Desert District,Wyoming,1230931.278,38987944385
49,Polygon,SPOKANE WENATCHEE FIELD OFFICE,SPOKANE WENATCHEE FIELD OFFICE,Administrative Field Office,9/9/9999,9/9/9999,https://www.blm.gov/oregon-washington,SPOKANE DISTRICT OFFICE,SPOKANE DISTRICT OFFICE,Oregon,2513650.461,2.84919E+11
50,Polygon,BRISTLECONE FIELD OFFICE,Bristlecone Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/nv/st/en.html,ELY DISTRICT OFFICE,Ely District,Nevada,1098825.329,47084512331
51,Polygon,BURNS THREE RIVERS FIELD OFFICE,BURNS THREE RIVERS FIELD OFFICE,Administrative Field Office,9/9/9999,9/9/9999,https://www.blm.gov/oregon-washington,BURNS DISTRICT OFFICE,BURNS DISTRICT OFFICE,Oregon,982505.7116,28061394941
52,Polygon,CEDAR CITY FIELD OFFICE,Cedar City,Administrative Field Office,1/1/1946,1/1/1946,https://www.blm.gov/utah,COLOR COUNTRY DISTRICT OFFICE,Color Country,Utah,714624.0933,24543691507
53,Polygon,RIO PUERCO FIELD OFFICE,RIO PUERCO FIELD OFFICE,Administrative Field Office,9/1/2004,9/18/2008,http://www.blm.gov/nm/st/en.html,ALBUQUERQUE DISTRICT OFFICE,ALBUQUERQUE DISTRICT OFFICE,New Mexico,1462577.018,57512605683
54,Polygon,MEDFORD ASHLAND FIELD OFFICE,MEDFORD ASHLAND FIELD OFFICE,Administrative Field Office,9/9/9999,9/9/9999,https://www.blm.gov/oregon-washington,MEDFORD DISTRICT OFFICE,MEDFORD DISTRICT OFFICE,Oregon,393804.5562,6612377835
55,Polygon,UNCOMPAHGRE FIELD OFFICE,UNCOMPAHGRE FIELD OFFICE,Administrative Field Office,7/7/2011,7/7/2011,https://www.blm.gov/office/uncompahgre-field-office,SOUTHWEST DISTRICT OFFICE,SOUTHWEST DISTRICT OFFICE,Colorado,985283.8132,22558226708
56,Polygon,ARIZONA STRIP FIELD OFFICE,ARIZONA STRIP FIELD OFFICE,Administrative Field Office,1/29/2008,1/29/2008,https://www.blm.gov/arizona,ARIZONA STRIP DISTRICT OFFICE,ARIZONA STRIP DISTRICT OFFICE,Arizona,2168046.088,25177409971
57,Polygon,BLACK ROCK FIELD OFFICE,Black Rock Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/nv/st/en.html,WINNEMUCCA DISTRICT OFFICE,Winnemucca District,Nevada,1046057.441,17457188163
58,Polygon,VERNAL FIELD OFFICE,Vernal,Administrative Field Office,1/1/1946,1/1/1946,https://www.blm.gov/utah,GREEN RIVER DISTRICT OFFICE,Green River,Utah,937580.4139,37729717234
59,Polygon,OWYHEE FIELD OFFICE,Owyhee Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/id/st/en.html,BOISE DISTRICT OFFICE,Boise District Office,Idaho,910964.3013,12865710698
60,Polygon,REDDING FIELD OFFICE,Redding Field Office,Administrative Field Office,9/9/9999,9/9/9999,'https://www.blm.gov/california,NORTHERN CALIFORNIA DISTRICT,Northern California District,California,1631513.465,70025870787
61,Polygon,TUSCARORA FIELD OFFICE,Tuscarora Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/nv/st/en.html,ELKO DISTRICT OFFICE,Elko District,Nevada,1070477.383,44679248487
62,Polygon,UPPER MISSOURI RIVER BREAKS NM,UPPER MISSOURI RIVER BREAKS NM,Administrative Field Office,1/17/2001,1/1/2009,http://www.blm.gov/mt/st/en/fo/umrbnm.html,NORTH CENTRAL MONTANA DISTRICT OFFICE,NORTH CENTRAL MONTANA DISTRICT OFFICE,Montana,1537705.04,4532666860
63,Polygon,SOUTH DAKOTA FIELD OFFICE,SOUTH DAKOTA FIELD OFFICE,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/mt/st/en.html,EASTERN MONTANA/DAKS DISTRICT OFFICE,EASTERN MONTANA/DAKS DISTRICT OFFICE,Montana,2962270.402,3.91973E+11
64,Polygon,RIDGECREST FIELD OFFICE,Ridgecrest Field Office,Administrative Field Office,9/9/9999,9/9/9999,'https://www.blm.gov/california,CALIFORNIA DESERT DISTRICT,California Desert District,California,1497573.372,47180585333
65,Polygon,PRINEVILLE DESCHUTES FIELD OFFICE,PRINEVILLE DESCHUTES FIELD OFFICE,Administrative Field Office,9/9/9999,9/9/9999,https://www.blm.gov/oregon-washington,PRINEVILLE DISTRICT OFFICE,PRINEVILLE DISTRICT OFFICE,Oregon,1547651.688,49003164229
66,Polygon,NW OREGON SIUSLAW FIELD OFFICE,NW OREGON SIUSLAW FIELD OFFICE,Administrative Field Office,2/11/2016,10/2/2016,https://www.blm.gov/oregon-washington,NW OREGON DISTRICT OFFICE,NW OREGON DISTRICT OFFICE,Oregon,510197.3431,8485366502
67,Polygon,ARCATA FIELD OFFICE,Arcata Field Office,Administrative Field Office,9/9/9999,9/9/9999,'https://www.blm.gov/california,NORTHERN CALIFORNIA DISTRICT,Northern California District,California,1289363.563,32143782682
68,Polygon,SAFFORD FIELD OFFICE,SAFFORD FIELD OFFICE,Administrative Field Office,7/1/1994,7/1/1994,https://www.blm.gov/arizona,GILA DISTRICT OFFICE,GILA DISTRICT OFFICE,Arizona,1991908.683,91042491323
69,Polygon,KREMMLING FIELD OFFICE,KREMMLING FIELD OFFICE,Administrative Field Office,7/7/2011,7/7/2011,https://www.blm.gov/office/kremmling-field-office,NORTHWEST DISTRICT OFFICE,NORTHWEST DISTRICT OFFICE,Colorado,950200.2706,21733057225
70,Polygon,CARLSBAD FIELD OFFICE,CARLSBAD FIELD OFFICE,Administrative Field Office,9/1/2004,9/18/2008,http://www.blm.gov/nm/st/en.html,PECOS DISTRICT OFFICE,PECOS DISTRICT OFFICE,New Mexico,973693.1671,35843256045
71,Polygon,DILLON FIELD OFFICE,DILLON FIELD OFFICE,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/mt/st/en.html,WESTERN MONTANA DISTRICT OFFICE,WESTERN MONTANA DISTRICT OFFICE,Montana,1294073.995,47608550555
72,Polygon,LEWISTOWN FIELD OFFICE,LEWISTOWN FIELD OFFICE,Administrative Field Office,9/9/9999,10/1/2011,http://www.blm.gov/mt/st/en.html,NORTH CENTRAL MONTANA DISTRICT OFFICE,NORTH CENTRAL MONTANA DISTRICT OFFICE,Montana,2858062.71,1.01864E+11
73,Polygon,FOUR RIVERS FIELD OFFICE,Four Rivers Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/id/st/en.html,BOISE DISTRICT OFFICE,Boise District Office,Idaho,1644800.653,69642315842
74,Polygon,EAGLE LAKE FIELD OFFICE,Eagle Lake Field Office,Administrative Field Office,9/9/9999,9/9/9999,'https://www.blm.gov/california,NORTHERN CALIFORNIA DISTRICT,Northern California District,California,1119898.871,33625950627
75,Polygon,MEDFORD GRANTS PASS FIELD OFFICE,MEDFORD GRANTS PASS FIELD OFFICE,Administrative Field Office,9/9/9999,9/9/9999,https://www.blm.gov/oregon-washington,COOS BAY DISTRICT OFFICE,COOS BAY DISTRICT OFFICE,Oregon,90713.29996,366798454.1
76,Polygon,EL CENTRO FIELD OFFICE,El Centro Field Office,Administrative Field Office,9/9/9999,9/9/9999,'https://www.blm.gov/california,CALIFORNIA DESERT DISTRICT,California Desert District,California,666297.5266,21568257982
77,Polygon,VALE BAKER FIELD OFFICE,VALE BAKER FIELD OFFICE,Administrative Field Office,9/9/9999,9/9/9999,https://www.blm.gov/oregon-washington,VALE DISTRICT OFFICE,VALE DISTRICT OFFICE,Oregon,1496211.88,71753762789
78,Polygon,ANCHORAGE FIELD OFFICE,ANCHORAGE FIELD OFFICE,Administrative Field Office,1/9/2015,1/9/2015,https://www.blm.gov/office/anchorage-field-office,ANCHORAGE DISTRICT OFFICE,ANCHORAGE DISTRICT OFFICE,Alaska,77655866.57,3.02745E+12
79,Polygon,MILES CITY FIELD OFFICE,MILES CITY FIELD OFFICE,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/mt/st/en.html,EASTERN MONTANA/DAKS DISTRICT OFFICE,EASTERN MONTANA/DAKS DISTRICT OFFICE,Montana,2551727.247,2.23771E+11
80,Polygon,CASPER FIELD OFFICE,Casper Field Office,Administrative Field Office,9/9/9999,7/16/1946,https://www.blm.gov/wyoming/,WYOMING HIGH PLAINS DISTRICT OFFICE,High Plains District,Wyoming,1457187.714,63958595800
81,Polygon,CENTRAL COAST FIELD OFFICE,Central Coast Field Office,Administrative Field Office,9/9/9999,9/9/9999,'https://www.blm.gov/california,CENTRAL CALIFORNIA DISTRICT,Central California District,California,1282177.685,43169938511
82,Polygon,LAKEVIEW DISTRICT LAKEVIEW FIELD OFFC,LAKEVIEW DISTRICT LAKEVIEW FIELD OFFI,Administrative Field Office,9/9/9999,9/9/9999,https://www.blm.gov/oregon-washington,LAKEVIEW DISTRICT OFFICE,LAKEVIEW DISTRICT OFFICE,Oregon,1032878.693,45036968883
83,Polygon,COLORADO RIVER VALLEY FIELD OFFICE,COLORADO RIVER VALLEY FIELD OFFICE,Administrative Field Office,7/7/2011,7/7/2011,https://www.blm.gov/office/colorado-river-valley-field-office,UPPER COLORADO RIVER DISTRICT OFFICE,UPPER COLORADO RIVER DISTRICT OFFICE,Colorado,916666.2856,19879513568
84,Polygon,COOS BAY UMPQUA FIELD OFFICE,COOS BAY UMPQUA FIELD OFFICE,Administrative Field Office,9/9/9999,9/9/9999,https://www.blm.gov/oregon-washington,COOS BAY DISTRICT OFFICE,COOS BAY DISTRICT OFFICE,Oregon,619061.1219,10535731032
85,Polygon,BUTTE FIELD OFFICE,BUTTE FIELD OFFICE,Administrative Field Office,9/9/9999,10/1/2011,http://www.blm.gov/mt/st/en.html,WESTERN MONTANA DISTRICT OFFICE,WESTERN MONTANA DISTRICT OFFICE,Montana,2378864.54,72053863833
86,Polygon,HAVRE FIELD OFFICE,HAVRE FIELD OFFICE,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/mt/st/en.html,NORTH CENTRAL MONTANA DISTRICT OFFICE,NORTH CENTRAL MONTANA DISTRICT OFFICE,Montana,2292553.688,92842118684
87,Polygon,BURNS ANDREWS FIELD OFFICE,BURNS ANDREWS FIELD OFFICE,Administrative Field Office,9/9/9999,9/9/9999,https://www.blm.gov/oregon-washington,BURNS DISTRICT OFFICE,BURNS DISTRICT OFFICE,Oregon,812622.205,15848797823
88,Polygon,MALTA FIELD OFFICE,MALTA FIELD OFFICE,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/mt/st/en.html,NORTH CENTRAL MONTANA DISTRICT OFFICE,NORTH CENTRAL MONTANA DISTRICT OFFICE,Montana,1032768.831,29896093074
89,Polygon,ROSEBURG DISTRICT SOUTH RIVER FO,ROSEBURG DISTRICT SOUTH RIVER FO,Administrative Field Office,9/9/9999,9/9/9999,https://www.blm.gov/oregon-washington,ROSEBURG DISTRICT OFFICE,ROSEBURG DISTRICT OFFICE,Oregon,574179.9314,8674037392
90,Polygon,ROSEBURG DISTRICT SWIFTWATER FO,ROSEBURG DISTRICT SWIFTWATER FO,Administrative Field Office,9/9/9999,9/9/9999,https://www.blm.gov/oregon-washington,ROSEBURG DISTRICT OFFICE,ROSEBURG DISTRICT OFFICE,Oregon,748708.4525,11855334266
91,Polygon,RICHFIELD FIELD OFFICE,Richfield,Administrative Field Office,1/1/1946,1/1/1946,https://www.blm.gov/utah,COLOR COUNTRY DISTRICT OFFICE,Color Country,Utah,1405080.367,36335178850
92,Polygon,LANDER FIELD OFFICE,Lander Field Office,Administrative Field Office,9/9/9999,7/16/1946,https://www.blm.gov/wyoming/,WIND RIVER/BIGHORN BASIN DISTRICT OFF,Wind River Bighorn Basin District,Wyoming,1374643.434,49146145776
93,Polygon,BURLEY FIELD OFFICE,Burley Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/id/st/en.html,TWIN FALLS DISTRICT OFFICE,Twin Falls District Office,Idaho,959195.3325,21947782704
94,Polygon,MEDFORD GRANTS PASS FIELD OFFICE,MEDFORD GRANTS PASS FIELD OFFICE,Administrative Field Office,7/20/2011,7/20/2011,https://www.blm.gov/oregon-washington,MEDFORD DISTRICT OFFICE,MEDFORD DISTRICT OFFICE,Oregon,607213.6768,9622964287
95,Polygon,GRAND CANYON/PARASHANT NATIONAL MONUM,GRAND CANYON-PARASHANT NM,"Field Stations, Monuments, and Other Administrative Types",1/29/2008,1/29/2008,https://www.blm.gov/arizona,ARIZONA STRIP DISTRICT OFFICE,ARIZONA STRIP DISTRICT OFFICE,Arizona,1170272.441,6550701957
96,Polygon,MOUNT LEWIS FIELD OFFICE,Mount Lewis Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/nv/st/en.html,BATTLE MOUNTAIN DISTRICT OFFICE,Battle Mountain District,Nevada,1138761.248,39687513297
97,Polygon,LOWER SONORAN FIELD OFFICE,LOWER SONORAN FIELD OFFICE,Administrative Field Office,9/14/2012,9/14/2012,https://www.blm.gov/arizona,PHOENIX DISTRICT OFFICE,PHOENIX DISTRICT OFFICE,Arizona,1446989.315,50878792302
98,Polygon,BUFFALO FIELD OFFICE,Buffalo Field Office,Administrative Field Office,9/9/9999,7/16/1946,https://www.blm.gov/wyoming/,WYOMING HIGH PLAINS DISTRICT OFFICE,High Plains District,Wyoming,1118282.743,58148919424
99,Polygon,YUMA FIELD OFFICE,YUMA FIELD OFFICE,Administrative Field Office,1/29/2010,1/29/2010,https://www.blm.gov/arizona,COLORADO RIVER DISTRICT OFFICE,COLORADO RIVER DISTRICT OFFICE,Arizona,956925.8386,29019513175
100,Polygon,TUCSON FIELD OFFICE,TUCSON FIELD OFFICE,Administrative Field Office,9/9/9999,9/9/9999,https://www.blm.gov/arizona,GILA DISTRICT OFFICE,GILA DISTRICT OFFICE,Arizona,1229547.378,37372123126
101,Polygon,COTTONWOOD FIELD OFFICE,Cottonwood Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/id/st/en.html,COEUR D'ALENE DISTRICT OFFICE,Coeur d'Alene District Office,Idaho,1426095.07,73421601858
102,Polygon,POCATELLO FIELD OFFICE,Pocatello Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/id/st/en.html,IDAHO FALLS DISTRICT OFFICE,Idaho Falls District Office,Idaho,945586.3777,38530996828
103,Polygon,RAWLINS FIELD OFFICE,Rawlins Field Office,Administrative Field Office,9/9/9999,7/16/1946,https://www.blm.gov/wyoming/,WYOMING HIGH DESERT DISTRICT OFFICE,High Desert District,Wyoming,1692132.685,81284245464
104,Polygon,LAKE HAVASU FIELD OFFICE,LAKE HAVASU FIELD OFFICE,Administrative Field Office,5/10/2007,5/10/2007,https://www.blm.gov/arizona,COLORADO RIVER DISTRICT OFFICE,COLORADO RIVER DISTRICT OFFICE,Arizona,849919.0988,12420395003
105,Polygon,EASTERN INTERIOR FIELD OFFICE,EASTERN INTERIOR FIELD OFFICE,Administrative Field Office,1/9/2015,1/9/2015,https://www.blm.gov/office/eastern-interior-field-office,FAIRBANKS DISTRICT OFFICE,FAIRBANKS DISTRICT OFFICE,Alaska,6713889.014,1.06554E+12
